d4, i0 i1, p2 p2, g3
d1288, i103, p104, g1287
d1289, i175, p161, g1287 g1108
d1292, , p8, g125 g1290 g1291
d1294, i1293, , 
d1296, , p87 p82, g143 g1295
d1297, , , g1227
d1298, , , g22
d1300, , , g1299
d1302, , , g1301
d1303, , p29, 
d1305, , , g261 g1304 g63
d1306, , p583, 
d1307, , , g429
d1308, , , g261
d1311, i1309, p1310, g615 g79
d1312, , p8, 
d1317, i406, , g584 g24 g573 g20 g1313 g743 g602 g79 g158 g1314 g312 g1315 g1316
d1319, i1318, p356, g52 g312 g498
d1322, , , g709 g1320 g1321 g1170
d1324, i1323, p240, 
d1326, , , g1325 g1320
d1327, , , g711 g708
d1329, , p1328, 
d1330, , , g605
d1331, , , g793
d1337, i40, p240, g36 g1332 g1170 g1320 g574 g445 g3 g1333 g1024 g1334 g1335 g1336 g380
d1338, i6, , 
d1339, i6, , 
d1341, i1340, , 
d1343, i1342, p294, 
d1344, i1340, p294, 
d1346, i382, p8, g1345
d1347, i382, p231, 
d1348, i382, , 
d1351, i1349, p26 p183, g1350
d1352, i554, , 
d1355, i1353, p183, g1354 g1350 g1265
d1356, , p82, g79
d1357, , p82, g79
d1358, , p435, 
d1360, i1359 i424, p106, 
d1362, i1361, p26, g263
d1364, , p106 p82, g192 g34 g1363 g22
d1365, i1143, , 
d1367, i1366, , 
d1369, i1368, , 
d1370, i392, p26, g24 g79
d1371, i392, p1096, g838
d1372, i424, p183, 
d1374, i1373, p1096, g941 g432 g45
d1375, i461, p26 p230, g538 g11 g79
d1377, i554, p435, g1376
d1379, , , g1378 g79
d1382, i1380, p1381, 
d1384, i1380, p1383, 
d1385, i1380, p1383, 
d1386, i1380, p1381, 
d1387, i1380, p1383, 
d1388, i1380, p1383, 
d1389, i1380, p1381, 
d1390, i1380, p1383, 
d1391, i1380, p1383, 
d1393, , p435 p1392, 
d1394, , p183, 
d1400, i1395, p1396 p1397 p1398, g1399 g834 g445 g3 g1024 g846
d1405, i1401 i1402 i16 i1403, p1096 p17 p1404, g34
d1406, i1401 i1402 i16 i1403, p1096 p17 p1404, g34
d1407, , p435, g943
d1411, i1408 i1409, p1410, 
d1413, i1412, p1096, 
d1414, i1412, p1096, 
d1415, i1412, p1096, 
d1416, i1412, p1096, 
d1417, i1412, p1096, 
d1418, i1412, p1096, 
d1419, i1412, p1096, 
d1420, i1412, p1096, 
d1421, i1412, p1096, 
d1422, i1412, p1096, 
d1423, i1412, p1096, 
d1424, i1412, p1096, 
d1425, i1412, p1096, 
d1426, i1412, p1096, 
d1427, i1412, p1096, 
d1428, , , g95 g1170
d1430, i461, p1429, 
d1431, i461, p1429, 
d1432, i461, p1429, 
d1433, i461, p1429, 
d1434, i461, p1429, 
d1435, i461, p1429, 
d1436, i461, p1429, 
d1437, i461, p1429, 
d1438, i461, p1429, 
d1439, i461, p1429, 
d1440, i461, p1429, 
d1441, i461, p1429, 
d1442, i461, p1429, 
d1443, i461, p1429, 
d1444, i461, p1429, 
d1446, i1445, p435, 
d1447, i1445, p435, 
d1448, i1445, p435, 
d1449, i1445, p435, 
d1456, i1 i1450, p315 p1451, g838 g839 g445 g1350 g1452 g1453 g235 g444 g921 g1454 g1455
d1457, i1 i1450, p315, g839 g838
d1459, i1 i1450, p315, g838 g839 g1350 g1458 g943 g921 g942
d1461, i1460 i1087 i1450, p26 p2, 
d1462, i1460 i1087 i1450, p26 p2, g444 g445 g1076
d1463, i1460 i1087 i1450, p26 p2, g45
d1464, i1460 i1087 i1450, p26 p2, g24 g1076
d1465, i1450, p2, 
d1466, i1460 i1087 i1450, p26 p2, 
d1467, i1460 i1 i1087 i1450, p26 p2, g188 g189
d1468, i1460 i1087 i1450, p26 p2, g188 g189
d1469, i1450, p2, g189
d1470, i1460 i1087 i1450, p26 p2, 
d1471, i1460 i1087 i1450, p26 p2, 
d1472, i1460 i1087 i1450, p26 p2, 
d1473, i1460 i1087 i1450, p26 p2, 
d1474, i1450, p2, 
d1475, i1450, p2, 
d1476, i1450, p2, 
d1477, i1450, p2, 
d1478, i1450, p2, 
d1479, i1450, p2, 
d1480, i1460 i1087 i1450, p26 p2, g444 g445 g1076
d1481, i1450, p2, 
d1482, i1460 i1087 i1450, p26 p2, 
d1483, i1460 i1 i1087 i1450, p26 p2, g188 g189
d1484, i1460 i1087 i1450, p26 p2, g188 g189
d1488, i1485, p26 p1486, g1487
d1489, i1485, p1486, 
d1490, i1485, p1486, 
d1491, i1485, p26 p1486, 
d1492, i1485, p26 p1486, 
d1493, i1485, p1486 p106, 
d1494, i1485, p1486 p106, 
d1495, i1485, p1486 p106, 
d1496, i1485, p1486 p106, 
d1497, i1485, p1486 p106, 
d1498, i1485, p1486 p106, 
d1499, i1485, p1486 p106, 
d1500, , p82, 
d1501, , p8 p323, g615 g24 g52 g616 g79 g1378 g901
d1502, , p106, 
d1504, , p106, g1503
d1505, , p106, g1503
d1506, , , g45
d1507, , p161, 
d1508, i374, p17, 
d1509, i65, , g67 g68
d1510, , p26, 
d1511, , p82, 
d1512, , , g22
d1513, i182, p183, 
d1514, , , g312 g765 g774
d1516, , p77, g403 g1515
d1517, , p356, 
d1518, , p356, 
d1520, i1519, p17, 
d1522, , p1521, g602 g444
d1524, i1523, p1521 p356, g602 g444
d1525, , p82, g1025 g298
d1527, i1323, p244, g778 g1025 g318 g1526
d1528, , , g573 g36
d1529, , p198, 
d1530, , p198, 
d1533, i1531, p1532, 
d1534, , p112, 
d1536, i1535, , 
d1538, i1537, , 
d1539, , p77, g432 g52 g95 g770 g429
d1540, i572, p87 p2, 
d1541, , p8, g410
d1542, , p161, g132
d1543, , p77, 
d1544, , p87 p26, g729
d1545, , p87 p26, 
d1546, , p26, 
d1548, , , g1547
d1549, , p26 p77, 
d1550, i352, p356, 
d1551, , p104, 
d1552, , p104, g38
d1553, i84, , g605
d1554, , , g22
d1555, , p240, 
d1556, i1409, , 
d1557, i1409, , 
d1558, i1409, , 
d1559, i1409, , 
d1560, i1409, , 
d1561, i1409, , 
d1565, i1562, , g806 g1563 g1564 g22
d1565, i1156, , g806 g1563 g1564 g22
d1566, i1409, p26 p356, 
d1567, i1409, p26, 
d1568, i1409, p161 p26, 
d1569, i1409, p26 p356, 
d1570, i1409, p26 p356, 
d1571, i103, , 
d1572, , p8, 
d1573, , p8, 
d1574, , p8, 
d1575, i303, , 
d1576, , p8, g36 g1103 g20
d1577, i406, , 
d1580, i824 i1578, p1579, 
d1582, i824 i1581, p1579 p106, 
d1583, i461 i1581, p1579, 
d1585, i1584, p1579, 
d1586, i1581, p1579, 
d1587, i1581, p1579, 
d1588, i1581, p1579, 
d1589, i1581, p1579, 
d1590, i1581, p1579, 
d1591, i1581, p1579, 
d1593, , p1592, 
d1595, i1531, p1532, g1594 g470
d1598, i1596, p1597, 
d1601, i1599, p26 p31, g1600 g45
d1602, i1599, p26 p31, 
d1603, i1599, p26 p31, g45
d1604, i1599, p26 p31, g45
d1605, , p26, g268 g36
d1606, , p327, g432
d1608, , p161, g95 g429 g430 g432 g1279 g566 g1607 g22
d1609, , , g432
d1612, i1610, p1611 p82, 
d1616, i1040, , g9 g1042 g840 g1613 g1614 g1615
d1617, , p26, 
d1618, , , g38
d1619, , , g121 g1031
d1620, , p17, 
d1621, i228, , 
d1622, i228, , 
d1623, i228, , 
d1624, i228, , 
d1625, i228, , 
d1626, i228, , 
d1627, , , g833
d1629, i343, p1628, g440
d1630, i1523, , g413 g1108 g38
d1631, , , g22
d1633, , , g1632
d1635, , p161, g807 g1634
d1637, , , g491 g1636
d1639, i406, , g839 g263 g1638 g1170
d1640, i406, , g839 g263 g1170
